Library,Commit,Root Cause,Date,bug report,PR/Issue,Violation,Impact,Action,condition,Fixing element,Fixing element detail,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/c510c1b8b1ef5be1d65971f5b9e21e61becd0bb3,Type Checking,2024-02-08 7:11:31,Remove IsCalledComputation from HloComputation. The function doesn't do what it seems. There are more types of called instruction that are not accounted in this check.,,Unnecessary,Unexpected Behavior,remove,If Checker,Valid Object Type,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/06b89ed1bdf606adb21d66664ca7ab5eaffdd58f,Others,2024-02-05 9:44:09," BundleReader was not waiting for concurrents reads to complete before checking their result value. Also changed the large value reading test to actually exercise the multi-threaded reading path. Previously, the whole multi threaded path was being skipped because the reads were smaller than kBufferSize.",,Insufficient,Unexpected Behavior,extend,If Checker,Others,Others,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/d5862d423742ec26c46737d4526eca3b8b8a0d9b,Edge Cases,2024-01-26 9:54:39, [TFLite] Add check in Softmax reference function to ensure exponent is within valid range. * Add check to ensure the exponent does not cause an overflow in gemmlowp::RoundingDivideByPOT,,Missing,Numerical Error,add,Macro Checker,Valid Integer Argument,Integer Variable,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1a1a381b5be7701843c3f1e34aa1846ae2a1d0ce,Null Value,2024-01-25 13:27:28,"Fix a SIGSEGV bug in InferShapeForXlaGatherOp. Since `ComputeOutputComponent` may return nullptr, we need to check for null attributes explicitly to be safe.",,Improper,Program Crash,update,Checker API,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/9718fed7b9aba244359b3d38c2a1dc20e50428bd,Computation Graph,2024-01-24 20:18:37, Added size check to avoid memory corruption in GraphDefImporter::ConvertNodeDef.,,Missing,Program Crash,add,If Checker,Valid Computation Graph,Computation Graph,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/798b2ebda0cc6f12f1ca6460611f760149771a11,Type Checking,2024-01-12 19:40:23," Ensure the allocation type is kTfLiteCustom when doing shallow copies in DeepOrShallowCopyTensorsShapeTypeData.  This code is correct only under the assumption that the caller has correctly prepared the tensors that get passed in for shallow copying, by setting their allocation types to kTfLiteCustom. This ensures that those tensors won't be double `free`'d later on. This check simply ensures that that assumption always holds, to ensure we fail early if ever a bug is introduced that breaks that assumption.",,Missing,Program Crash,add,Macro Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/89334fb15c688e7dbd81878745755db01579ea70,Device Version,2024-01-05 5:07:14, [NVIDIA] Update VersionCheck APIs for CuDNN. This PR updates the cudnnXXXVersionCheck to the latest for the next CUDNN release.,,Missing,Unexpected Behavior,add,If Checker,Valid Device Version,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/6c472f6632c4864da749e7a4aee8c001a905287f,Device Version,2023-12-08 16:36:13," so suggest to use check `CUDA_VERSION` at `12030` here, for `maxSize`, resolved directly in the same way",,Improper,Unexpected Behavior,update,If Checker,Valid Device Version,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e1dbfeba8acb1df8f42dfa6f76262f5cb23e1fa1,Device Version,2023-11-28 23:24:49,[stream_executor] NFC: Guard new features with CUDA_VERSION check ,,Missing,Unexpected Behavior,add,If Checker,Valid Device Version,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/ac012e26d4331919335d4bceb8abe22b68ed5434,Device Type,2023-11-17 5:07:13,Don't assume GPU clients are PJRT-compatible. Instead explicitly check for compatibility.,,Improper,Unexpected Behavior,update,If Checker,Valid Device Type,Device,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/20d54796563631c23c27548b321487e8b0c982a9,Null Value,2023-11-03 13:34:02," Add a nil check before init the device_name string, and also assign an empty string as a placeholder.",,Insufficient,Program Crash,extend,If Checker,Object is Not Null,Regular Object,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/81ff894c113a5912ba52078ac27e36d06831112e,Boundary Value,2023-11-01 7:43:01,"[XLA] Add bounds checks to xla::Array::Slice. To guard against specifying limits that are out of bounds, which ends up touching OOB data.",,Missing,Program Crash,add,Macro Checker,In Range Tensor Indexing,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/e44f8a08051baa58bde9130a844a1b82a8179526,Type Checking,2023-10-31 15:18:59,"check hasattr on the type, not the instance. hasattr on the instance triggers __getattr__ which carries very undesirable effects, such as running Ops on a donated buffer.",,Missing,Unexpected Behavior,add,If Checker,Valid Tensor Type,Tensor,,,
tensorflow,https://github.com/tensorflow/tensorflow/commit/1707ed9b9b0cc5cb02df22a06718c9c738825d39,Others,2023-10-26 22:00:50, Add a check to make sure that the allocation before an Evict() is not a prefetch.,,Missing,unexpected Behavior,add,Macro Checker,Others,Others,,,
