Commit,Date,related,PR/Issue,Root Cause,Impact,Fixing pattern,Fixing element
https://github.com/pytorch/pytorch/commit/41902a6ebc1806e7f4d6ce1da604cc9921c6515e,2024-01-29 3:31:26,1,https://github.com/pytorch/pytorch/pull/118474,improper tracing operation,unknown,optimize is_tracing checks,computation graph
https://github.com/pytorch/pytorch/commit/6e78592cbb81138ce13ad65a5f549d65b191526c,2024-01-24 13:24:44,1,https://github.com/pytorch/pytorch/pull/117231,improper type checking,type error,add type checking,computation graph
https://github.com/pytorch/pytorch/commit/dc43ad428603539a2051940c09b191825f66203d,2024-01-10 22:37:45,1,https://github.com/pytorch/pytorch/pull/117089,improper api call,low inference time,add conditional check,automatic differentiation
https://github.com/pytorch/pytorch/commit/f3a2094065c8b4b7bae426e71c923a8a8abb74b5,2024-02-09 13:24:09,0,,,,,
https://github.com/pytorch/pytorch/commit/8c2fde1fcf17a1108557740d581e1808cc5b7d38,2024-02-06 20:24:01,0,,,,,
https://github.com/pytorch/pytorch/commit/3aeaa21eb02953a9cbc62b3e61215572fc28453e,2024-02-02 19:22:56,0,,,,,
https://github.com/pytorch/pytorch/commit/3f1f057adfcd4cef67fff9605a894cb075c02881,2024-02-02 0:29:49,0,,,,,
https://github.com/pytorch/pytorch/commit/e3d7a19f7390e4992974d2184a8a9423017a36e7,2024-01-29 17:10:50,0,,,,,
https://github.com/pytorch/pytorch/commit/d41cfc92e6a19fd3e2a1997882c8535b2a1c3717,2024-01-26 16:45:24,0,,,,,
https://github.com/pytorch/pytorch/commit/fc135454ca656aaef9c31f67e8b9508a683251af,2024-01-24 13:45:10,0,,,,,
https://github.com/pytorch/pytorch/commit/12662f4d955ba276cabb48a5ffa749127afdb4ef,2024-01-24 5:14:20,0,,,,,
https://github.com/pytorch/pytorch/commit/b50ccad86e4310f8280585257a92e1649254c4c8,2024-01-21 9:26:59,0,,,,,
https://github.com/pytorch/pytorch/commit/38827141681397564ff4ef0163dc1f0d17cd0708,2024-01-17 20:33:55,0,,,,,
https://github.com/pytorch/pytorch/commit/f7143b79bdba36b515893b6803a3920689d19665,2024-01-17 20:33:49,0,,,,,
https://github.com/pytorch/pytorch/commit/2c8975387d0459b0b0f92937eb60d0ad5d555c60,2024-01-13 5:04:12,0,,,,,
https://github.com/pytorch/pytorch/commit/7073dc604e220e1690dc21c77b52da1e63a534e1,2024-01-08 10:32:03,0,,,,,
https://github.com/pytorch/pytorch/commit/f6639359357452de8bfc691430396ded98ea399c,2024-01-07 23:55:35,1,https://github.com/pytorch/pytorch/pull/116915,incorrect boundary check,runtime error,replacing the incorrect boundary check ,tensor data type
https://github.com/pytorch/pytorch/commit/63ee35c4e0c0b91fa39f44f0ef1b5582a51e5674,2024-01-05 14:15:05,0,,,,,
https://github.com/pytorch/pytorch/commit/53953316444485c8ee250022988ef87778ae1352,2024-01-03 20:56:44,1,https://github.com/pytorch/pytorch/pull/116709,acquire the GIL during the exit process,race condition,add conditional check,tensors
https://github.com/pytorch/pytorch/commit/c5d9173d046bdca549de5203b387cee5eb826325,2023-12-29 20:15:35,0,,,,,
https://github.com/pytorch/pytorch/commit/02e2158e754bafda46e663052c838aeb6ab6b560,2023-12-28 17:09:03,1,https://github.com/pytorch/pytorch/pull/110301,missing boundary check,memory corruption,adding boundary check,tensor stack
https://github.com/pytorch/pytorch/commit/83502feabed9656e3e6f8d9912b5e1f99fbe5446,2023-12-27 15:22:20,0,,,,,
https://github.com/pytorch/pytorch/commit/dbbe8485b42a0e8b2e53eeccd825d49e7401a211,2023-12-23 23:54:50,0,,,,,
https://github.com/pytorch/pytorch/commit/491292229782e06b1d99684fc591fabae5445cdd,2023-12-23 3:38:26,0,,,,,
https://github.com/pytorch/pytorch/commit/ff4aac109a990e64d82fb73b5af5fa5e69278580,2023-12-21 10:09:10,0,,,,,
https://github.com/pytorch/pytorch/commit/348cb2f8f99a0fd9bf76b289bf88b5b8d060d525,2023-12-21 9:37:41,0,,,,,
https://github.com/pytorch/pytorch/commit/5d5ef016a622c8259b328e8b6f8fa7ffcf3c80dc,2023-12-20 19:00:20,0,,,,,
https://github.com/pytorch/pytorch/commit/bc0d8649a4877c3b587d7635a17816c40b2c9744,2023-12-20 16:11:52,0,,,,,
https://github.com/pytorch/pytorch/commit/ae6f1f4a4728fae112dca7f1adc9042094d20e05,2023-12-19 16:08:37,0,,,,,
https://github.com/pytorch/pytorch/commit/9b8f934068290a53ac7b330f7863f007323eec8d,2023-12-18 21:12:26,1,https://github.com/pytorch/pytorch/pull/115721,incorrect memory checker,incorrect functionality,remove uncessary check,tensors
https://github.com/pytorch/pytorch/commit/3b70bd3970b5f464ae02585f0de89e88395936cb,2023-12-18 13:16:44,1,https://github.com/pytorch/pytorch/pull/115979,incorrect computation graph,incorrect functionality,validate compilation graphs,computation graph
https://github.com/pytorch/pytorch/commit/d08905db7e61024f580ec0255155f1134ca0f641,2023-12-15 20:53:10,0,,,,,
https://github.com/pytorch/pytorch/commit/66b04e3cb707d30c4698b269c83cb6221848f17a,2023-12-14 18:40:54,1,https://github.com/pytorch/pytorch/pull/115851,insecure type conversion,Null pointer dereference,add null pointer checker,profiling_name
https://github.com/pytorch/pytorch/commit/5e615f5f3a76dfa73c49a724b92fdb8d5f12f732,2023-12-13 20:09:51,0,,,,,
https://github.com/pytorch/pytorch/commit/75d3bbaaa23a5b3febb0264df0742b6b6e4c916e,2023-12-13 13:44:43,0,,,,,
https://github.com/pytorch/pytorch/commit/1becd2c314f45bded8d3fbec91d785e7190b4afe,2023-12-12 17:20:20,1,https://github.com/pytorch/pytorch/pull/115617,insufficient device checks,RuntimeError,augment device checks,device type
https://github.com/pytorch/pytorch/commit/7553c495147f3e21a1e27d392d277906a47768e7,2023-12-12 13:02:05,1,https://github.com/pytorch/pytorch/pull/115483,insufficient tensor shapes,incorrect functionality,augment tensors shapes,tensor shape
https://github.com/pytorch/pytorch/commit/99f06c0cc2a907d8fbf613768356838548f1f8c0,2023-12-11 16:21:10,0,,,,,
https://github.com/pytorch/pytorch/commit/03ff44c958913dedbf160b2c2f6b9107cfd160c1,2023-12-11 16:06:05,0,,,,,
https://github.com/pytorch/pytorch/commit/490f2d75700a806bdc6110e881e78493cde163e3,2023-12-05 23:44:49,1,https://github.com/pytorch/pytorch/pull/114117,insufficient device checks,backend failed,augment device checks,device type
https://github.com/pytorch/pytorch/commit/5de0dff7ea2f0857f2682ce4c1e6ad70779a76a6,2023-12-05 11:27:56,0,,,,,
https://github.com/pytorch/pytorch/commit/0fef82b3dfb4a5da1555a3c046950594b83e2898,2023-12-01 23:16:37,0,,,,,
https://github.com/pytorch/pytorch/commit/6e495eef60ff4c62519c72e5e534f0d1e5c7e63a,2023-12-01 16:51:05,0,,,,,
https://github.com/pytorch/pytorch/commit/c1e51fcbfc70c089276530ee64fb626e3f7f4f2b,2023-11-29 23:43:46,1,https://github.com/pytorch/pytorch/pull/114767,missing numeric checks,incorrect functionality,Relax tolerance for cuda accuracy check,floating point
https://github.com/pytorch/pytorch/commit/acdb278144a50ba77c5b4a3853479a8acaeba1a8,2023-11-29 15:53:26,0,,,,,
https://github.com/pytorch/pytorch/commit/a076a74f1118da171cf70d00d1de4abbe27cf85d,2023-11-29 0:59:35,1,https://github.com/pytorch/pytorch/pull/114664,insufficient device checks,AssertionError,augment device checks,device type
https://github.com/pytorch/pytorch/commit/a785fbe513d72dd475a3640ceda370580ccd0ca8,2023-11-21 20:48:51,0,,,,,
https://github.com/pytorch/pytorch/commit/4d07428edee863e7f5920f0672957a9711a9f0b5,2023-11-21 20:05:42,1,https://github.com/pytorch/pytorch/pull/110303,missing boundary check,memory corruption,adding boundary check,input size
https://github.com/pytorch/pytorch/commit/fb25fd6f865ed0532caf710ca130b6cc23a772a8,2023-11-20 20:24:21,0,,,,,
https://github.com/pytorch/pytorch/commit/0894981f6c28a24e10a25825d0a0824fc1b3faef,2023-11-16 21:44:12,0,,,,,
https://github.com/pytorch/pytorch/commit/3c4e4d9947f67e7e73d111b0d0aa19b85e6ea375,2023-11-16 15:43:38,0,,,,,
https://github.com/pytorch/pytorch/commit/c1c4882367c592d49e15268a0b99631c207d662e,2023-11-16 2:42:30,0,,,,,
https://github.com/pytorch/pytorch/commit/585e315b3afc962bda4449957dc0d25eca3e4d4e,2023-11-15 16:08:39,0,,,,,
https://github.com/pytorch/pytorch/commit/37008940999a41aedf3d7e77c86167c8e4852d7a,2023-11-13 14:04:24,0,,,,,
https://github.com/pytorch/pytorch/commit/0a7eef9bcf6d1f8b5531102342ffc21f24beb58d,2023-11-10 19:20:08,1,https://github.com/pytorch/pytorch/pull/113447,improper cuda version check,unknown,remove cuda version check,cuda version
https://github.com/pytorch/pytorch/commit/ae2c219de2fd032036aa1d2a04101f1c23fd5bbe,2023-11-10 15:46:13,1,https://github.com/pytorch/pytorch/pull/113447,improper cuda version check,unknown,remove cuda version check,cuda version
https://github.com/pytorch/pytorch/commit/7ccca60927cdccde63d6a1d40480950f24e9877a,2023-11-10 13:54:19,1,https://github.com/pytorch/pytorch/pull/113447,improper cuda version check,unknown,remove cuda version check,cuda version
https://github.com/pytorch/pytorch/commit/c7e12c7427eef5a3e212371b386fcc6b31e944c5,2023-11-09 22:24:27,0,,,,,
https://github.com/pytorch/pytorch/commit/87082bd025362a84fedcca02350963d21a950d12,2023-11-09 17:02:28,1,https://github.com/pytorch/pytorch/pull/113328,missing adapter check,unknown,add adapter check,ReadAdapterInterface
https://github.com/pytorch/pytorch/commit/d01f8b291d437a37ec8809a18c1bb2ebfa825285,2023-11-08 0:27:15,1,https://github.com/pytorch/pytorch/pull/113066,improper checking on nodes in computation graph,unknown,adding computation graph node checking,computation graph
https://github.com/pytorch/pytorch/commit/93cea394dee1315c7a85ead7bb7af21363157c4f,2023-11-07 21:51:18,1,https://github.com/pytorch/pytorch/pull/113174,improper cuda version check,unknown,losen cuda version check,cuda version
https://github.com/pytorch/pytorch/commit/8198474eb763c8d526ede3418211479c2f4cbd30,2023-11-02 15:31:32,1,https://github.com/pytorch/pytorch/pull/112654,improper checking on nodes in computation graph,unknown,adding computation graph node checking,computation graph
https://github.com/pytorch/pytorch/commit/cce5016653320a41bd5f2bcd1384a3e6a7c649ad,2023-11-01 12:03:04,0,,,,,
https://github.com/pytorch/pytorch/commit/92cc52ab0e48a27d77becd37f1683fd442992120,2023-10-30 12:43:20,1,https://github.com/pytorch/pytorch/pull/112375,improper usage of memory efficient attention condition,unknown,losen memory efficient attention condition,attention mechansim
https://github.com/pytorch/pytorch/commit/740d636165676d4a7286f05043e47db86efdeee1,2023-10-29 14:55:11,0,,,,,
https://github.com/pytorch/pytorch/commit/31f605344f255faaef0aede0f98483f4cb09f072,2023-10-27 23:50:33,0,,,,,
https://github.com/pytorch/pytorch/commit/089e7aa4ac97a6557b488e4d4020dc10656d91ef,2023-10-27 17:32:30,0,,,,,
